// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.02 sec)   *****
// Found 5 benchmarks:
//   Bench.NodeBench: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.NodeBenchV2: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.DocBench: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.DocBenchV2: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
//   Bench.DocBenchV3: InProcess(Server=True, Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
// **************************
// Benchmark: Bench.NodeBench: InProcess(Server=True, Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 8.0.8 (8.0.824.36612), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-XDGNVI(Server=True, Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 126800.00 ns, 126.8000 us/op
WorkloadJitting  1: 1 op, 4806800.00 ns, 4.8068 ms/op

OverheadJitting  2: 16 op, 149200.00 ns, 9.3250 us/op
WorkloadJitting  2: 16 op, 1255000.00 ns, 78.4375 us/op

WorkloadPilot    1: 16 op, 1087200.00 ns, 67.9500 us/op
WorkloadPilot    2: 32 op, 2181300.00 ns, 68.1656 us/op
WorkloadPilot    3: 64 op, 4355200.00 ns, 68.0500 us/op
WorkloadPilot    4: 128 op, 8657900.00 ns, 67.6398 us/op
WorkloadPilot    5: 256 op, 16984400.00 ns, 66.3453 us/op
WorkloadPilot    6: 512 op, 33031800.00 ns, 64.5152 us/op
WorkloadPilot    7: 1024 op, 64018200.00 ns, 62.5178 us/op
WorkloadPilot    8: 2048 op, 134803700.00 ns, 65.8221 us/op
WorkloadPilot    9: 4096 op, 180556800.00 ns, 44.0813 us/op
WorkloadPilot   10: 8192 op, 312313800.00 ns, 38.1242 us/op
WorkloadPilot   11: 16384 op, 242422300.00 ns, 14.7963 us/op
WorkloadPilot   12: 32768 op, 432973700.00 ns, 13.2133 us/op
WorkloadPilot   13: 65536 op, 876292900.00 ns, 13.3712 us/op

OverheadWarmup   1: 65536 op, 96000.00 ns, 1.4648 ns/op
OverheadWarmup   2: 65536 op, 95200.00 ns, 1.4526 ns/op
OverheadWarmup   3: 65536 op, 95000.00 ns, 1.4496 ns/op
OverheadWarmup   4: 65536 op, 95000.00 ns, 1.4496 ns/op
OverheadWarmup   5: 65536 op, 94900.00 ns, 1.4481 ns/op
OverheadWarmup   6: 65536 op, 97100.00 ns, 1.4816 ns/op
OverheadWarmup   7: 65536 op, 95100.00 ns, 1.4511 ns/op

OverheadActual   1: 65536 op, 96500.00 ns, 1.4725 ns/op
OverheadActual   2: 65536 op, 97200.00 ns, 1.4832 ns/op
OverheadActual   3: 65536 op, 95600.00 ns, 1.4587 ns/op
OverheadActual   4: 65536 op, 96700.00 ns, 1.4755 ns/op
OverheadActual   5: 65536 op, 95100.00 ns, 1.4511 ns/op
OverheadActual   6: 65536 op, 95000.00 ns, 1.4496 ns/op
OverheadActual   7: 65536 op, 95000.00 ns, 1.4496 ns/op
OverheadActual   8: 65536 op, 94900.00 ns, 1.4481 ns/op
OverheadActual   9: 65536 op, 95000.00 ns, 1.4496 ns/op
OverheadActual  10: 65536 op, 95100.00 ns, 1.4511 ns/op
OverheadActual  11: 65536 op, 96400.00 ns, 1.4709 ns/op
